,song_title,artists,song_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time signature
46,Unity,['Operation Ivy'],spotify:track:5bCiXGDATfmBe08xeYwttM,0.583,0.863,9.0,-4.083,1.0,0.0692,0.193,0.0102,0.0717,0.842,92.688,133827.0,4.0
47,Jaded,['Operation Ivy'],spotify:track:4ltHUqKwizegFjQmSURzvt,0.285,0.977,8.0,-3.69,1.0,0.109,0.0128,1.18e-06,0.712,0.599,172.213,111307.0,4.0
48,Smiling,['Operation Ivy'],spotify:track:0FJMf86AUNJmgcjPeG2FXa,0.553,0.99,8.0,-4.383,1.0,0.105,0.25,0.0,0.162,0.868,92.34,106560.0,4.0
49,Junkie's Runnin' Dry,['Operation Ivy'],spotify:track:6B8AEA40nAWys4apQbjLdH,0.223,0.8,5.0,-4.333,1.0,0.0433,0.00235,0.000874,0.412,0.966,73.178,125573.0,4.0
50,Minor Threat,['Minor Threat'],spotify:track:6yIaRcvzhIrukxS4VVhil0,0.276,0.91,2.0,-7.465,1.0,0.0491,0.00101,0.0014,0.276,0.935,166.469,91240.0,4.0
51,I Don't Wanna Hear It,['Minor Threat'],spotify:track:2qUvaIFI5Io2UcOkpofLMB,0.199,0.97,11.0,-6.458,1.0,0.0832,0.0019,0.00158,0.0869,0.778,189.679,76173.0,4.0
52,Filler,['Minor Threat'],spotify:track:6NGxGmKo0w0zQE9HuaKzd9,0.168,0.977,4.0,-6.716,1.0,0.102,0.000181,0.00421,0.0636,0.571,189.339,92693.0,4.0
53,Seeing Red,['Minor Threat'],spotify:track:6Oo8wDuMdKq5KscPsP6sAL,0.33,0.81,2.0,-7.014,1.0,0.142,0.00419,0.0569,0.0658,0.642,168.73,65093.0,4.0
54,Automatic,['Less Than Jake'],spotify:track:6hxxNvnPcPZFUqQxtjHMG7,0.353,0.975,2.0,-2.877,1.0,0.0688,0.000155,2.99e-05,0.0796,0.684,132.628,126360.0,4.0
55,My Very Own Flag,['Less Than Jake'],spotify:track:6BwQFfX3ykfIjwig6QBrJx,0.157,0.932,2.0,-1.34,1.0,0.0615,3.35e-05,0.0198,0.239,0.558,166.026,167000.0,4.0
56,Black Coffee,['Less Than Jake'],spotify:track:6nAuH0HuciIzyUZ4z3rr1Z,0.153,0.991,2.0,-2.083,1.0,0.174,3.7e-05,0.000423,0.0668,0.336,165.252,144907.0,4.0
57,Growing Up on a Couch,['Less Than Jake'],spotify:track:5jDPMj6VLSGvjErO8zyEdd,0.234,0.968,7.0,-1.688,1.0,0.173,0.00122,0.158,0.0509,0.261,161.007,150173.0,4.0
58,Jen Doesn't Like Me Anymore,['Less Than Jake'],spotify:track:5yyq3Ju8tA3cFVjvHmorGK,0.396,0.946,8.0,-3.835,1.0,0.129,0.000129,0.0,0.144,0.55,129.087,170693.0,4.0
59,Sugar In Your Gas Tank,['Less Than Jake'],spotify:track:0pdTSwvSB5IGjeumcPIDa6,0.369,0.977,4.0,-3.128,1.0,0.123,0.00127,0.0,0.074,0.744,101.239,126973.0,4.0
60,May 16,['Lagwagon'],spotify:track:2y2E0ix0iJWQWUMmlbTWjg,0.337,0.985,2.0,-4.675,1.0,0.0787,0.000409,0.00027,0.238,0.371,103.95,176960.0,4.0
61,Bombs Away,['Lagwagon'],spotify:track:01nvjLvsDyNKJlUnGtL0YH,0.366,0.84,2.0,-3.974,1.0,0.0508,0.00026,0.0,0.416,0.618,107.411,205813.0,4.0
62,Razor Burn,['Lagwagon'],spotify:track:03fYqsyXhBXQaKpXy3Ig4T,0.31,0.935,4.0,-4.324,1.0,0.0744,6.29e-05,0.000116,0.101,0.659,144.343,158107.0,4.0
63,Lazy,['Lagwagon'],spotify:track:49naseni3Shk2KScsq76RD,0.373,0.934,7.0,-4.317,1.0,0.0711,0.000248,2.08e-06,0.296,0.667,98.529,107480.0,4.0
64,107,['Less Than Jake'],spotify:track:5SLszRrOzpSnOr7u0sSTY3,0.314,0.966,7.0,-3.004,1.0,0.15,0.000934,0.0,0.0943,0.477,141.687,119733.0,4.0
65,Johnny Quest Thinks We're Sellouts,['Less Than Jake'],spotify:track:3Sl62Dyoh3wI3gLIJSypnb,0.42,0.921,1.0,-4.165,1.0,0.049,0.00105,0.000726,0.147,0.76,140.521,169107.0,4.0
66,Just Like Frank,['Less Than Jake'],spotify:track:5bTreLxwXfycKKyN9KftfK,0.308,0.935,2.0,-4.272,1.0,0.111,9.47e-05,0.0,0.183,0.671,158.451,110373.0,4.0
67,Rock-N-Roll Pizzeria,['Less Than Jake'],spotify:track:3zjwEZqb0jcPPLRRZfJbxD,0.209,0.991,1.0,-3.493,0.0,0.38,0.000336,0.0,0.367,0.357,177.254,120867.0,4.0
68,In My Eyes,['Minor Threat'],spotify:track:4svLdyGQQfbSmucvHtdReA,0.275,0.958,7.0,-5.86,1.0,0.144,0.0343,0.009,0.0554,0.446,161.612,169320.0,4.0
69,Screaming at a Wall,['Minor Threat'],spotify:track:3EabpCN4RuqoFeTzxKosC8,0.336,0.936,2.0,-7.673,1.0,0.0792,0.000445,0.171,0.324,0.544,93.807,94147.0,4.0
